tensor(0.1147, device='cuda:0')
tensor(0.0891, device='cuda:0')
tensor(0.1228, device='cuda:0')
tensor(0.0661, device='cuda:0')
tensor(0.0390, device='cuda:0')
tensor(0.1647, device='cuda:0')
tensor(0.1175, device='cuda:0')
tensor(0.0443, device='cuda:0')
tensor(0.0867, device='cuda:0')
tensor(0.0914, device='cuda:0')
tensor(0.1441, device='cuda:0')
tensor(0.0533, device='cuda:0')
tensor(0.0321, device='cuda:0')
tensor(0.1751, device='cuda:0')
tensor(0.1675, device='cuda:0')
tensor(0.0362, device='cuda:0')
tensor(0.0803, device='cuda:0')
tensor(0.1016, device='cuda:0')
tensor(0.1816, device='cuda:0')
tensor(0.0600, device='cuda:0')
tensor(0.0460, device='cuda:0')
tensor(0.1425, device='cuda:0')
tensor(0.1080, device='cuda:0')
tensor(0.0328, device='cuda:0')
tensor(0.1137, device='cuda:0')
tensor(0.0972, device='cuda:0')
tensor(0.1378, device='cuda:0')
tensor(0.0609, device='cuda:0')
tensor(0.0367, device='cuda:0')
tensor(0.1719, device='cuda:0')
tensor(0.1771, device='cuda:0')
tensor(0.0415, device='cuda:0')
tensor(0.0705, device='cuda:0')
tensor(0.1181, device='cuda:0')
tensor(0.1927, device='cuda:0')
tensor(0.0739, device='cuda:0')
tensor(0.0367, device='cuda:0')
tensor(0.1573, device='cuda:0')
tensor(0.1167, device='cuda:0')
tensor(0.0407, device='cuda:0')
tensor(0.0920, device='cuda:0')
tensor(0.0989, device='cuda:0')
tensor(0.1674, device='cuda:0')
tensor(0.0690, device='cuda:0')
tensor(0.0386, device='cuda:0')
tensor(0.1524, device='cuda:0')
tensor(0.1241, device='cuda:0')
tensor(0.0300, device='cuda:0')
tensor(0.1155, device='cuda:0')
tensor(0.0937, device='cuda:0')
tensor(0.1423, device='cuda:0')
tensor(0.0541, device='cuda:0')
tensor(0.0262, device='cuda:0')
tensor(0.2256, device='cuda:0')
tensor(0.2012, device='cuda:0')
tensor(0.0234, device='cuda:0')
tensor(0.0664, device='cuda:0')
tensor(0.1291, device='cuda:0')
tensor(0.2070, device='cuda:0')
tensor(0.0912, device='cuda:0')
tensor(0.0547, device='cuda:0')
tensor(0.1381, device='cuda:0')
tensor(0.1123, device='cuda:0')
tensor(0.0431, device='cuda:0')
tensor(0.1270, device='cuda:0')
tensor(0.0799, device='cuda:0')
tensor(0.1333, device='cuda:0')
tensor(0.0687, device='cuda:0')
tensor(0.0436, device='cuda:0')
tensor(0.1466, device='cuda:0')
tensor(0.1335, device='cuda:0')
tensor(0.0265, device='cuda:0')
tensor(0.1126, device='cuda:0')
tensor(0.1008, device='cuda:0')
tensor(0.1409, device='cuda:0')
tensor(0.0584, device='cuda:0')
tensor(0.0420, device='cuda:0')
tensor(0.1718, device='cuda:0')
tensor(0.1978, device='cuda:0')
tensor(0.0294, device='cuda:0')
tensor(0.0964, device='cuda:0')
tensor(0.1094, device='cuda:0')
tensor(0.1833, device='cuda:0')
tensor(0.0763, device='cuda:0')
tensor(0.0327, device='cuda:0')
tensor(0.1657, device='cuda:0')
tensor(0.1797, device='cuda:0')
tensor(0.0343, device='cuda:0')
tensor(0.0919, device='cuda:0')
tensor(0.1036, device='cuda:0')
tensor(0.1879, device='cuda:0')
tensor(0.0721, device='cuda:0')
tensor(0.0555, device='cuda:0')
tensor(0.1375, device='cuda:0')
tensor(0.1313, device='cuda:0')
tensor(0.0249, device='cuda:0')
tensor(0.1118, device='cuda:0')
tensor(0.0880, device='cuda:0')
tensor(0.1437, device='cuda:0')
tensor(0.0746, device='cuda:0')
tensor(0.0435, device='cuda:0')
tensor(0.1624, device='cuda:0')
tensor(0.1550, device='cuda:0')
tensor(0.0296, device='cuda:0')
tensor(0.1066, device='cuda:0')
tensor(0.0891, device='cuda:0')
tensor(0.1706, device='cuda:0')
tensor(0.0784, device='cuda:0')
tensor(0.0489, device='cuda:0')
tensor(0.1530, device='cuda:0')
tensor(0.1524, device='cuda:0')
tensor(0.0261, device='cuda:0')
tensor(0.1016, device='cuda:0')
tensor(0.0856, device='cuda:0')
tensor(0.1760, device='cuda:0')
tensor(0.0870, device='cuda:0')
tensor(0.0450, device='cuda:0')
tensor(0.1742, device='cuda:0')
tensor(0.1633, device='cuda:0')
tensor(0.0378, device='cuda:0')
tensor(0.0947, device='cuda:0')
tensor(0.0820, device='cuda:0')
tensor(0.1713, device='cuda:0')
tensor(0.1098, device='cuda:0')
tensor(0.0559, device='cuda:0')
tensor(0.1296, device='cuda:0')
tensor(0.1296, device='cuda:0')
tensor(0.0359, device='cuda:0')
tensor(0.1551, device='cuda:0')
tensor(0.0748, device='cuda:0')
tensor(0.1408, device='cuda:0')
tensor(0.0697, device='cuda:0')
