tensor(0.0158, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.1901, device='cuda:0')
tensor(0.1164, device='cuda:0')
tensor(0.0429, device='cuda:0')
tensor(0.0091, device='cuda:0')
tensor(0.1369, device='cuda:0')
tensor(0.0394, device='cuda:0')
tensor(0.0575, device='cuda:0')
tensor(0.0094, device='cuda:0')
tensor(0.1134, device='cuda:0')
tensor(0.0594, device='cuda:0')
tensor(0.0671, device='cuda:0')
tensor(0.0341, device='cuda:0')
tensor(0.0730, device='cuda:0')
tensor(0.0206, device='cuda:0')
tensor(0.0091, device='cuda:0')
tensor(0.0042, device='cuda:0')
tensor(0.1784, device='cuda:0')
tensor(0.1034, device='cuda:0')
tensor(0.0332, device='cuda:0')
tensor(0.0053, device='cuda:0')
tensor(0.1218, device='cuda:0')
tensor(0.0329, device='cuda:0')
tensor(0.0148, device='cuda:0')
tensor(0.0089, device='cuda:0')
tensor(0.1307, device='cuda:0')
tensor(0.0520, device='cuda:0')
tensor(0.0370, device='cuda:0')
tensor(0.0141, device='cuda:0')
tensor(0.0718, device='cuda:0')
tensor(0.0343, device='cuda:0')
tensor(0.0145, device='cuda:0')
tensor(0.0040, device='cuda:0')
tensor(0.1493, device='cuda:0')
tensor(0.0640, device='cuda:0')
tensor(0.0344, device='cuda:0')
tensor(0.0086, device='cuda:0')
tensor(0.1044, device='cuda:0')
tensor(0.0290, device='cuda:0')
tensor(0.0094, device='cuda:0')
tensor(0.0038, device='cuda:0')
tensor(0.1634, device='cuda:0')
tensor(0.0964, device='cuda:0')
tensor(0.0320, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.1194, device='cuda:0')
tensor(0.0311, device='cuda:0')
tensor(0.0357, device='cuda:0')
tensor(0.0058, device='cuda:0')
tensor(0.1392, device='cuda:0')
tensor(0.0656, device='cuda:0')
tensor(0.0535, device='cuda:0')
tensor(0.0090, device='cuda:0')
tensor(0.1015, device='cuda:0')
tensor(0.0171, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.0045, device='cuda:0')
tensor(0.1847, device='cuda:0')
tensor(0.1215, device='cuda:0')
tensor(0.0271, device='cuda:0')
tensor(0.0096, device='cuda:0')
tensor(0.1270, device='cuda:0')
tensor(0.0470, device='cuda:0')
tensor(0.0388, device='cuda:0')
tensor(0.0087, device='cuda:0')
tensor(0.1493, device='cuda:0')
tensor(0.0581, device='cuda:0')
tensor(0.0624, device='cuda:0')
tensor(0.0186, device='cuda:0')
tensor(0.1120, device='cuda:0')
tensor(0.0168, device='cuda:0')
tensor(0.0212, device='cuda:0')
tensor(0.0074, device='cuda:0')
tensor(0.1910, device='cuda:0')
tensor(0.1090, device='cuda:0')
tensor(0.0354, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.1370, device='cuda:0')
tensor(0.0244, device='cuda:0')
tensor(0.0473, device='cuda:0')
tensor(0.0123, device='cuda:0')
tensor(0.1309, device='cuda:0')
tensor(0.0334, device='cuda:0')
tensor(0.0668, device='cuda:0')
tensor(0.0150, device='cuda:0')
tensor(0.0872, device='cuda:0')
tensor(0.0119, device='cuda:0')
tensor(0.0496, device='cuda:0')
tensor(0.0069, device='cuda:0')
tensor(0.1680, device='cuda:0')
tensor(0.0816, device='cuda:0')
tensor(0.0826, device='cuda:0')
tensor(0.0125, device='cuda:0')
tensor(0.1262, device='cuda:0')
tensor(0.0166, device='cuda:0')
tensor(0.0099, device='cuda:0')
tensor(0.0083, device='cuda:0')
tensor(0.2160, device='cuda:0')
tensor(0.1558, device='cuda:0')
tensor(0.0397, device='cuda:0')
tensor(0.0100, device='cuda:0')
tensor(0.1580, device='cuda:0')
tensor(0.0270, device='cuda:0')
tensor(0.0260, device='cuda:0')
tensor(0.0054, device='cuda:0')
tensor(0.1241, device='cuda:0')
tensor(0.0551, device='cuda:0')
tensor(0.0559, device='cuda:0')
tensor(0.0116, device='cuda:0')
tensor(0.0908, device='cuda:0')
tensor(0.0164, device='cuda:0')
tensor(0.0158, device='cuda:0')
tensor(0.0039, device='cuda:0')
tensor(0.1288, device='cuda:0')
tensor(0.0663, device='cuda:0')
tensor(0.0308, device='cuda:0')
tensor(0.0108, device='cuda:0')
tensor(0.0834, device='cuda:0')
tensor(0.0394, device='cuda:0')
tensor(0.0215, device='cuda:0')
tensor(0.0041, device='cuda:0')
tensor(0.1420, device='cuda:0')
tensor(0.0609, device='cuda:0')
tensor(0.0453, device='cuda:0')
tensor(0.0124, device='cuda:0')
